low,high,rate,rest
0,5000,0,0
5000,8500,.04,0
8500,11700,.045,140.00
11700,13900,.0525,284.00
13900,21400,.059,399.50
21400,80650,.0609,842.00
80650,215400,.0641,4450.32
215400,1077550,.0685,13087.80
1077550,inf,.0882,72145.07
